network,n_metadata_rows,n_stations,earliest_data,latest_data,coverage_days
AACES,244,49,2005-05-09 13:00:00,2010-09-24 01:00:00,1963
AMMA-CATCH,37,7,2006-01-01 00:00:00,2018-12-31 23:00:00,4747
ARM,1226,35,1993-06-29 13:00:00,2026-02-09 00:00:00,11912
AWDN,232,50,1997-12-31 17:00:00,2010-12-30 17:00:00,4747
BDF_Saxony,43,4,1996-06-20 09:00:00,2025-08-01 03:00:00,10633
BFG_Nw,15,1,1986-10-31 23:00:00,2026-02-13 06:00:00,14349
BIEBRZA_S-1,162,27,2015-04-23 20:00:00,2018-12-01 00:00:00,1317
BNZ-LTER,174,12,1988-06-01 15:00:00,2013-01-01 00:00:00,8979
Berlin,414,23,2019-11-02 09:00:00,2026-02-15 00:00:00,2296
CALABRIA,23,5,2001-01-01 00:00:00,2012-12-31 23:00:00,4382
CAMPANIA,6,2,2000-07-27 23:00:00,2012-12-31 23:00:00,4540
CHINA,428,40,1981-01-08 04:00:00,1999-12-28 04:00:00,6928
COSMOS,112,108,2008-04-28 20:00:00,2020-03-29 06:00:00,4352
COSMOS-UK,983,49,2013-10-02 13:00:00,2023-01-01 00:00:00,3377
CTP_SMTMN,582,57,2010-08-01 00:00:00,2016-09-19 15:00:00,2241
CW3E,348,24,2017-06-29 13:00:00,2026-02-15 00:00:00,3152
DAHRA,12,1,2002-07-04 13:00:00,2016-01-01 00:00:00,4928
DWD,380,20,2024-01-01 00:00:00,2026-02-08 23:00:00,769
FLUXNET-AMERIFLUX,135,8,2000-01-01 00:00:00,2020-07-21 07:00:00,7507
FMI,196,27,2007-01-25 11:00:00,2026-02-07 23:00:00,6953
FR_Aqui,70,5,2012-01-01 00:00:00,2025-01-01 00:00:00,4749
GROW,300,150,2017-02-08 14:00:00,2019-10-08 09:00:00,971
GTK,82,7,2001-05-16 14:00:00,2012-05-29 15:00:00,4031
HOAL,350,33,2013-07-11 22:00:00,2021-12-31 02:00:00,3094
HOBE,312,32,2009-09-08 14:00:00,2019-03-13 08:00:00,3472
HSC_SEOLMACHEON,1,1,2008-01-01 00:00:00,2009-01-01 15:00:00,366
HYDROL-NET_PERUGIA,11,2,2010-01-01 00:00:00,2016-12-31 22:00:00,2556
HiWATER_EHWSN,897,174,2012-05-04 04:00:00,2012-09-20 03:00:00,138
ICN,221,19,1983-01-03 18:00:00,2010-11-21 08:00:00,10183
IIT_KANPUR,4,1,2011-06-16 13:00:00,2012-11-22 05:00:00,524
IMA_CAN1,24,12,2011-08-23 14:00:00,2015-12-03 17:00:00,1563
IOWA,72,6,1972-04-04 18:00:00,1994-11-15 18:00:00,8260
IPE,9,2,2008-04-03 00:00:00,2020-03-25 14:00:00,4374
KHOREZM,14,7,2010-04-17 12:00:00,2011-09-10 07:00:00,510
KIHS_CMC,56,18,2008-06-20 17:00:00,2019-12-10 10:00:00,4189
KIHS_SMC,51,19,2007-06-06 18:00:00,2019-12-05 12:00:00,4564
LAB-net,18,4,2014-07-18 01:00:00,2020-07-14 17:00:00,2188
LABFLUX,29,4,2015-01-27 13:00:00,2025-10-13 08:00:00,3911
MAQU,218,27,2008-05-13 02:00:00,2019-06-01 06:00:00,4036
METEROBS,5,1,2011-10-23 17:00:00,2012-05-09 07:00:00,198
MOL-RAO,35,2,2003-01-01 00:00:00,2020-06-30 23:00:00,6390
MONGOLIA,425,43,1964-04-08 04:00:00,2002-10-18 04:00:00,14072
MySMNet,25,7,2014-05-31 16:00:00,2015-12-31 15:00:00,578
NAQU,108,11,2010-06-15 05:00:00,2019-09-12 20:00:00,3376
NGARI,230,23,2010-07-21 03:00:00,2019-09-10 04:00:00,3338
NVE,113,7,2006-07-11 23:00:00,2024-12-31 22:00:00,6747
ORACLE,80,6,1985-10-18 23:00:00,2013-09-09 11:00:00,10187
OZNET,340,38,2001-09-12 15:00:00,2021-09-01 00:00:00,7293
PBO_H2O,335,155,2004-09-27 12:00:00,2017-12-16 12:00:00,4828
PTSMN,80,20,2016-10-30 22:00:00,2018-11-15 21:00:00,745
REMEDHUS,48,24,2005-03-15 17:00:00,2025-01-01 00:00:00,7231
RISMA,693,23,2013-04-24 06:00:00,2020-03-25 01:00:00,2526
ROMPS,117,9,1989-12-31 18:00:00,2026-02-14 11:00:00,13193
RSMN,85,20,2014-04-09 19:00:00,2025-12-15 23:00:00,4268
RU-ADDFerti,60,30,2023-06-04 23:00:00,2023-09-16 23:00:00,104
RUSWET-AGRO,416,212,1958-04-08 12:00:00,2002-06-28 12:00:00,16152
RUSWET-GRASS,224,121,1952-06-08 08:00:00,1985-12-28 08:00:00,12256
RUSWET-VALDAI,14,3,1960-01-15 07:00:00,1990-12-15 07:00:00,11292
Ru_CFR,30,2,2015-05-25 13:00:00,2025-12-31 22:00:00,3873
SASMAS,42,14,2005-12-31 14:00:00,2007-12-31 13:00:00,729
SCAN,7260,222,1996-08-15 18:00:00,2026-02-15 00:00:00,10775
SD_DEM,18,1,2002-02-08 09:00:00,2020-11-12 12:00:00,6852
SKKU,100,15,2014-05-08 03:00:00,2017-11-29 05:00:00,1301
SMN-SDR,340,34,2018-07-25 00:00:00,2019-12-31 23:00:00,524
SMOSMANIA,213,22,2007-01-01 00:00:00,2025-01-01 00:00:00,6575
SNOTEL,10594,509,1996-09-10 08:00:00,2026-02-15 00:00:00,10749
SOILSCAPE,960,216,2011-08-03 08:00:00,2026-02-15 00:00:00,5309
SONTE-China,160,20,2020-12-31 16:00:00,2022-12-31 15:00:00,729
STEMS,89,11,2015-12-04 00:00:00,2025-01-15 16:00:00,3330
SW-WHU,25,7,2014-01-12 00:00:00,2015-06-03 23:00:00,507
SWEX_POLAND,111,6,2000-01-01 00:00:00,2013-05-06 13:00:00,4874
TAHMO,298,70,2015-06-17 13:00:00,2022-07-07 18:00:00,2577
TERENO,101,5,2009-12-01 02:00:00,2026-02-15 00:00:00,5919
TWENTE,434,44,2008-11-12 08:00:00,2020-12-31 23:00:00,4432
TxSON,80,40,2014-10-01 06:00:00,2022-11-08 08:00:00,2960
UDC_SMOS,62,11,2007-11-08 13:00:00,2011-11-18 16:00:00,1471
UMBRIA,61,13,2002-10-09 22:00:00,2017-12-31 23:00:00,5562
UMSUOL,7,1,2009-06-12 12:00:00,2017-05-15 23:00:00,2894
USCRN,1370,115,2000-11-15 05:00:00,2026-02-15 00:00:00,9222
USDA-ARS,16,4,2002-06-01 00:00:00,2009-07-31 23:00:00,2617
VAS,15,2,2010-01-01 01:00:00,2012-01-01 00:00:00,729
VDS,66,4,2017-06-01 10:00:00,2021-02-13 23:00:00,1353
WATERLINE,6,3,2021-10-06 21:00:00,2025-06-10 21:00:00,1343
WEGENERNET,113,13,2007-01-01 00:00:00,2026-02-15 00:00:00,6985
WIT-Network,12,12,2022-04-04 16:00:00,2023-02-28 06:00:00,329
WSMN,26,8,2011-09-02 10:00:00,2016-02-29 23:00:00,1641
XMS-CAT,220,21,2016-08-01 00:00:00,2026-02-15 00:00:00,3485
iRON,44,7,2012-08-23 00:00:00,2025-09-25 00:00:00,4781
