deliverable_id,work_package,wp_title,title,type,dissemination,expected_date,source_page,file_url,local_file,download_status,download_date,byte_size,sha256
D1.1,WP1,Land Data Assimilation Methodology for reanalysis,Preliminary assessment of ensemble perturbation methods for the land-surface assimilation systems,REPORT,Public,Dec-2023,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2023-12/CERISE-D1-1-V1.0.pdf,projects/cerise/data/public_deliverables/WP1_Land_DA_Methodology/D1.1_Preliminary_assessment_of_ensemble_perturbation_methods_for_the_land-surfac/CERISE_D1.1_2023_Dec-2023_Preliminary_assessment_of_ensemble_perturbation_methods_for_the_land-surface_assimilation_syste_v1.0.pdf,downloaded,2026-06-17,2563942,a030d6b545dc170bd3e18b108c0094d90d84daf7a772db5ecbc75eb2b245ee13
D1.2,WP1,Land Data Assimilation Methodology for reanalysis,"Unified, ensemble-based global land data assimilation system and documentation",REPORT,Public,Dec-2024,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2025-02/CERISE-D1-2-V1.1.pdf,projects/cerise/data/public_deliverables/WP1_Land_DA_Methodology/D1.2_Unified_ensemble-based_global_land_data_assimilation_system_and_documentati/CERISE_D1.2_2024_Dec-2024_Unified_ensemble-based_global_land_data_assimilation_system_and_documentation_v1.1.pdf,downloaded,2026-06-17,1970384,f42bf45c153e818ece3e0c6fd590b37757ab14d535cf61db70923e9322de5465
D1.3,WP1,Land Data Assimilation Methodology for reanalysis,"Unified, ensemble-based regional land data assimilation system and documentation",REPORT,Public,Dec-2024,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2025-02/CERISE-D1-3-V1.1.pdf,projects/cerise/data/public_deliverables/WP1_Land_DA_Methodology/D1.3_Unified_ensemble-based_regional_land_data_assimilation_system_and_documenta/CERISE_D1.3_2024_Dec-2024_Unified_ensemble-based_regional_land_data_assimilation_system_and_documentation_v1.1.pdf,downloaded,2026-06-17,2244090,e627db3c40aa495a3e0157f028b2bc3ccac02fd43189075b99457d9255f73a12
D1.4,WP1,Land Data Assimilation Methodology for reanalysis,Report on observation operator methodology ready for implementation in coupled global and regional systems,REPORT,Public,Dec-2025,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2026-01/CERISE-D1-4-V1.0.pdf,projects/cerise/data/public_deliverables/WP1_Land_DA_Methodology/D1.4_Report_on_observation_operator_methodology_ready_for_implementation_in_coup/CERISE_D1.4_2025_Dec-2025_Report_on_observation_operator_methodology_ready_for_implementation_in_coupled_global_and_regio_v1.0.pdf,downloaded,2026-06-17,7421493,e0abc08b83f2cee37c806c4b72a638476c4e5748b847ae3632f60272095ee4da
D2.1,WP2,Coupled surface-atmosphere assimilation for global and reanalysis systems,Documentation of coupled assimilation infrastructure and methodology and preliminary assessment towards optimal degrees of coupling for coupled global reanalysis,REPORT,Public,Dec-2024,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2025-02/CERISE-D2-1-V2.0.pdf,projects/cerise/data/public_deliverables/WP2_Coupled_Surface_Atmosphere_DA/D2.1_Documentation_of_coupled_assimilation_infrastructure_and_methodology_and_pr/CERISE_D2.1_2024_Dec-2024_Documentation_of_coupled_assimilation_infrastructure_and_methodology_and_preliminary_assessment_v2.0.pdf,downloaded,2026-06-17,2322289,185daec0552c04fb6f92087559ce5bdb8510e6cc00612c2695baddefed6c458e
D2.2,WP2,Coupled surface-atmosphere assimilation for global and reanalysis systems,Documentation of coupled assimilation methodology and preliminary assessment towards optimal degrees of coupling for regional reanalysis,REPORT,Public,Dec-2024,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2025-02/CERISE-D2-2-V1.pdf,projects/cerise/data/public_deliverables/WP2_Coupled_Surface_Atmosphere_DA/D2.2_Documentation_of_coupled_assimilation_methodology_and_preliminary_assessmen/CERISE_D2.2_2024_Dec-2024_Documentation_of_coupled_assimilation_methodology_and_preliminary_assessment_towards_optimal_de_v1.pdf,downloaded,2026-06-17,1364373,e790836fe021016cf5b5304dce725a0e11170324835581365474d27ead88e1c3
D2.3,WP2,Coupled surface-atmosphere assimilation for global and reanalysis systems,Documentation on coupled skin temperature assimilation for coupled reanalysis,REPORT,Public,Dec-2025,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2026-01/CERISE-D2-3-V1.2.pdf,projects/cerise/data/public_deliverables/WP2_Coupled_Surface_Atmosphere_DA/D2.3_Documentation_on_coupled_skin_temperature_assimilation_for_coupled_reanalys/CERISE_D2.3_2025_Dec-2025_Documentation_on_coupled_skin_temperature_assimilation_for_coupled_reanalysis_v1.2.pdf,downloaded,2026-06-17,1839863,cd88c150fcc9f0f5eb92992af81ddfa2cccedfb7bbff4d92b957df310007bac4
D2.4,WP2,Coupled surface-atmosphere assimilation for global and reanalysis systems,Documentation on coupled skin temperature assimilation for regional reanalyses,REPORT,Public,Dec-2025,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2026-01/CERISE-D2-4-V1.0_0.pdf,projects/cerise/data/public_deliverables/WP2_Coupled_Surface_Atmosphere_DA/D2.4_Documentation_on_coupled_skin_temperature_assimilation_for_regional_reanaly/CERISE_D2.4_2025_Dec-2025_Documentation_on_coupled_skin_temperature_assimilation_for_regional_reanalyses_v1.0.0.pdf,downloaded,2026-06-17,6613572,de80d38e8b94ae9ac1c0f8211a57f96026abdc404dfe89cbd797b9faab88f3fd
D2.5,WP2,Coupled surface-atmosphere assimilation for global and reanalysis systems,Documentation on next reanalysis generation coupled assimilation systems,REPORT,Public,Dec-2026,https://www.cerise-project.eu/deliverables,,,no_file_link_found,2026-06-17,,
D3.1,WP3,Balanced initialization of land surface for seasonal forecasts,Documentation of the intermediate set of land surface initialisation systems,REPORT,Public,Sep-2025,https://www.cerise-project.eu/deliverables,https://www.cerise-project.eu/sites/default/files/2025-09/CERISE-D3-1-V1.2.pdf,projects/cerise/data/public_deliverables/WP3_Seasonal_Initialization/D3.1_Documentation_of_the_intermediate_set_of_land_surface_initialisation_system/CERISE_D3.1_2025_Sep-2025_Documentation_of_the_intermediate_set_of_land_surface_initialisation_systems_v1.2.pdf,downloaded,2026-06-17,993612,dd4df74afc8d41fdcfdc409e10f12205e7d6d8ac364ca442863d98b58bcdb3ed
